sample	group	P	odds.ratio	Jaccard	intersection	union	FDR	LOGP	LOGFDR	ens_id	symbol
ASC.C31 Down	M10 Ambiguous	0.998738369209996	0.217351758922673	0.00371747211895911	2	538	1	0.000548265217206804	0	ENSMUSG00000037331,ENSMUSG00000056602	Larp1,Fry
ASC.C31 Down	M3 Oligo/Myelination	0.997710952891658	0.404966495352247	0.0100719424460432	7	695	1	0.000995260061625831	0	ENSMUSG00000001773,ENSMUSG00000005534,ENSMUSG00000026923,ENSMUSG00000027422,ENSMUSG00000032740,ENSMUSG00000040940,ENSMUSG00000065979	Folh1,Insr,Notch1,Rrbp1,Ccdc88a,Arhgef1,Cpped1
ASC.C31 Down	M4 Synapse/Neuron	0.984088564788768	0.475440191667949	0.0099009900990099	6	606	1	0.00696581471071225	0	ENSMUSG00000003279,ENSMUSG00000020541,ENSMUSG00000022762,ENSMUSG00000036815,ENSMUSG00000041794,ENSMUSG00000043259	Dlgap1,Tom1l1,Ncam2,Dpp10,Myrip,Fam13c
ASC.C31 Down	M9 Golgi	0.938646476320031	0.583539123903562	0.0106951871657754	6	561	1	0.027497945851616	0	ENSMUSG00000001467,ENSMUSG00000003316,ENSMUSG00000019232,ENSMUSG00000020070,ENSMUSG00000021589,ENSMUSG00000093930	Cyp51,Glg1,Etnppl,Rufy2,Rhobtb3,Hmgcs1
ASC.C31 Down	M17 Transcription	0.971013126124746	0.46049139180892	0.00756143667296786	4	529	1	0.0127748992732355	0	ENSMUSG00000021149,ENSMUSG00000024287,ENSMUSG00000038024,ENSMUSG00000042323	Gtpbp4,Thoc1,Dennd4c,Pbrm1
ASC.C31 Down	M1 Synapse/Neuron	0.997773329640157	0.481790362139921	0.014268727705113	12	841	1	0.000968108880413007	0	ENSMUSG00000004902,ENSMUSG00000006276,ENSMUSG00000021555,ENSMUSG00000021699,ENSMUSG00000024462,ENSMUSG00000024976,ENSMUSG00000027002,ENSMUSG00000029088,ENSMUSG00000039809,ENSMUSG00000041670,ENSMUSG00000046230,ENSMUSG00000051331	Slc25a18,Eps15l1,Naa35,Pde4d,Gabbr1,Shoc2,Nckap1,Kcnip4,Gabbr2,Rims1,Vps13a,Cacna1c
ASC.C31 Down	M8 Protein Transport	0.997792537136909	0.285017099257731	0.00531914893617021	3	564	1	0.000959748635342167	0	ENSMUSG00000004364,ENSMUSG00000020704,ENSMUSG00000046230	Cul3,Asic2,Vps13a
ASC.C31 Down	M19 Axonogenesis	0.986140704781381	0.313922836238309	0.0041407867494824	2	483	1	0.00606111452079763	0	ENSMUSG00000035566,ENSMUSG00000042628	Pcdh17,Zfyve1
ASC.C31 Down	M6 Ribosome	0.997171947009998	0.333076713035249	0.00674536256323777	4	593	1	0.0012299478077853	0	ENSMUSG00000003623,ENSMUSG00000039047,ENSMUSG00000049252,ENSMUSG00000070509	Crot,Pigk,Lrp1b,Rgma
ASC.C31 Down	M7 MAPK/Metabolism	0.999762146708608	0.179676704361268	0.00347826086956522	2	575	1	0.000103310658831516	0	ENSMUSG00000024975,ENSMUSG00000027367	Pdcd4,Stard7
ASC.C31 Down	M33 Ambiguous	0.346899143953642	1.37203148565206	0.00963855421686747	4	415	1	0.459796771869293	0	ENSMUSG00000027452,ENSMUSG00000031523,ENSMUSG00000039601,ENSMUSG00000052539	Acss1,Dlc1,Rcan2,Magi3
ASC.C31 Down	M38 Heat Shock/Folding	1	0	0	0	405	1	0	0		NA
ASC.C31 Down	M23 Ambiguous	0.887389516574487	0.578496981084777	0.00652173913043478	3	460	1	0.0518857062491068	0	ENSMUSG00000000305,ENSMUSG00000022494,ENSMUSG00000034813	Cdh4,Shisa9,Grip1
ASC.C31 Down	M22 Post-Synaptic Density	0.686846492108443	0.857001123498287	0.00888888888888889	4	450	1	0.163140315458168	0	ENSMUSG00000006276,ENSMUSG00000007411,ENSMUSG00000024286,ENSMUSG00000033597	Eps15l1,Mark3,Ccny,Caskin1
ASC.C31 Down	M2 Mitochondria	0.999456842710057	0.336731026997814	0.00852272727272727	6	704	1	0.00023595429977935	0	ENSMUSG00000000168,ENSMUSG00000010095,ENSMUSG00000021577,ENSMUSG00000024827,ENSMUSG00000034755,ENSMUSG00000064068	Dlat,Slc3a2,Sdha,Gldc,Pcdh11x,Mtx1
ASC.C31 Down	M31 Axon Node/Ion Channel	1	0	0	0	421	1	0	0		NA
ASC.C31 Down	M24 Ubiquitination	0.867107238561413	0.608142235439774	0.00659340659340659	3	455	1	0.0619271882960964	0	ENSMUSG00000018334,ENSMUSG00000024130,ENSMUSG00000028020	Ksr1,Abca3,Glrb
ASC.C31 Down	M26 Complement/Acute Phase	0.995946251610435	0.177862486779036	0.00213675213675214	1	468	1	0.00176409858318464	0	ENSMUSG00000006522	Itih3
ASC.C31 Down	M35 Ambiguous	0.937198374873008	0.35853261321682	0.00242718446601942	1	412	1	0.0281684731526429	0	ENSMUSG00000027951	Adar
ASC.C31 Down	M39 Translation Initiation	0.849141496681682	0.529676824229743	0.00253807106598985	1	394	1	0.0710199350707524	0	ENSMUSG00000020457	Drg1
ASC.C31 Down	M41 Ambiguous	1	0	0	0	417	1	0	0		NA
ASC.C31 Down	M36 Neurotransmitter Regulation	0.955361792271273	0.318384484167796	0.00238663484486874	1	419	1	0.0198321314193776	0	ENSMUSG00000021820	Camk2g
ASC.C31 Down	M5 Post-Synaptic Density	0.857873499627908	0.720836908089907	0.013840830449827	8	578	1	0.0665767476570234	0	ENSMUSG00000002107,ENSMUSG00000003279,ENSMUSG00000021373,ENSMUSG00000021699,ENSMUSG00000022629,ENSMUSG00000026527,ENSMUSG00000026587,ENSMUSG00000037697	Celf2,Dlgap1,Cap2,Pde4d,Kif21a,Rgs7,Astn1,Ddhd1
ASC.C31 Down	M14 Protein Folding	0.993859856787801	0.272336258033236	0.00398406374501992	2	502	1	0.00267485072811793	0	ENSMUSG00000021824,ENSMUSG00000068039	Ap3m1,Tcp1
ASC.C31 Down	M21 MHC Complex/Immune	0.996981442814693	0.168675624803121	0.00210970464135021	1	474	1	0.00131292529735434	0	ENSMUSG00000019916	P4ha1
ASC.C31 Down	M20 RNA Splicing	0.998407874589727	0.151657659349634	0.00205338809034908	1	487	1	0.00069200230369944	0	ENSMUSG00000040459	Arglu1
